subject_number,signs_condition,signs_up,type_signs_acad_rel,signs,aisle,conv_initiate,turns,valence,product_points,product_names,product_asks_q,product_describes_features,product_puts_in_cart,reference_points,reference_q1,reference_q2,reference_elaborates,number_uses_number,number_elicits_number,number_counts_no_point,number_counts_with_point,number_total,color_points,color_uses_word,color_elicits_word,shape_points,shape_uses_word,shape_elicits_word,color_shape_total,num_col_shape_talk,one_word_gives_answer,one_word_elicits,one_word_elaborates,number_adults,adult1gender,adult2gender,adult3gender,adult4gender,number_children,child1gender,child2gender,child3gender,child4gender,target_child_age,other_children_ages,re,language_spoken,observ_length,coder
1,no signs,no signs 1,NA,NA,dry goods,parent,0-5,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,f,NA,NA,NA,2,m,f,NA,NA,10,NA,latinx,spanish,3,rj
1,no signs,no signs 1,NA,NA,freezer,NA,0-5,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,9,NA,asian,english,1,le
1,no signs,no signs 1,NA,NA,bread,child,0-5,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,2,f,m,NA,NA,8,NA,latinx,spanish,2,yc
1,no signs,no signs 1,NA,NA,produce,parent,6-15,neutral,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,f,m,NA,NA,1,f,NA,NA,NA,NA,NA,latinx,spanish,3,as
2,no signs,no signs 1,NA,NA,dry goods,parent,0-5,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,f,NA,NA,NA,1,m,NA,NA,NA,10,NA,white,english,1,rj
2,no signs,no signs 1,NA,NA,freezer,parent,6-15,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,f,NA,NA,NA,1,m,NA,NA,NA,10,NA,white,english,2,le
2,no signs,no signs 1,NA,NA,produce,volunteer,6-15,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,f,NA,NA,NA,1,m,NA,NA,NA,7,NA,white,english,2,as
3,no signs,no signs 1,NA,NA,freezer,NA,0-5,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,f,NA,NA,NA,2,m,m,NA,NA,6,NA,latinx,english,1,le
3,no signs,no signs 1,NA,NA,bread,NA,0-5,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,f,NA,NA,NA,2,f,m,NA,NA,10,NA,latinx,spanish,2,yc
4,no signs,no signs 1,NA,NA,dry goods,parent,6-15,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,f,NA,NA,NA,1,f,NA,NA,NA,8,NA,latinx,english and spanish,3,rj
4,no signs,no signs 1,NA,NA,freezer,NA,0-5,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,1,f,NA,NA,NA,8,NA,latinx,spanish,2,le
4,no signs,no signs 1,NA,NA,bread,parent,0-5,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,f,NA,NA,NA,1,f,NA,NA,NA,6,NA,latinx,spanish,NA,yc
4,no signs,no signs 1,NA,NA,produce,parent,0-5,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,f,NA,NA,NA,1,f,NA,NA,NA,5,NA,latinx,spanish,4,as
6,no signs,no signs 1,NA,NA,dry goods,parent,0-5,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,f,f,NA,NA,1,m,NA,NA,NA,5,NA,latinx,english,3,rj
6,no signs,no signs 1,NA,NA,freezer,NA,0-5,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,f,f,NA,NA,1,m,NA,NA,NA,7,NA,latinx,english,NA,le
6,no signs,no signs 1,NA,NA,bread,parent,0-5,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,f,f,NA,NA,1,m,NA,NA,NA,5,NA,latinx,spanish,NA,yc
6,no signs,no signs 1,NA,NA,produce,parent,0-5,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2,f,f,NA,NA,1,m,NA,NA,NA,4,NA,latinx,spanish,NA,as
7,no signs,no signs 1,NA,NA,dry goods,parent,6-15,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,m,NA,NA,NA,2,f,f,NA,NA,10,NA,latinx,spanish,4,rj
7,no signs,no signs 1,NA,NA,freezer,NA,0-5,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,m,NA,NA,NA,2,f,NA,NA,NA,5,11+,latinx,NA,2,le
7,no signs,no signs 1,NA,NA,bread,parent,0-5,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,m,NA,NA,NA,2,f,f,NA,NA,10,NA,latinx,english,2,yc
7,no signs,no signs 1,NA,NA,produce,NA,6-15,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,m,NA,NA,NA,2,f,f,NA,NA,7,3,latinx,spanish,4,as
8,no signs,no signs 1,NA,NA,dry goods,parent,0-5,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,f,NA,NA,NA,1,m,NA,NA,NA,6,NA,black,english,1,rj
8,no signs,no signs 1,NA,NA,freezer,NA,0-5,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,m,NA,NA,NA,1,f,NA,NA,NA,7,NA,black,english,2,le
8,no signs,no signs 1,NA,NA,produce,NA,0-5,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,f,NA,NA,NA,1,m,NA,NA,NA,4,NA,black,english,2,as
9,no signs,no signs 1,NA,NA,freezer,NA,6-15,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,f,NA,NA,NA,3,f,f,f,NA,8,NA,latinx,english,3,le
9,no signs,no signs 1,NA,NA,produce,child,6-15,positive,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,2,0,0,0,2,f,f,NA,NA,3,f,f,f,NA,10,"1, 8",latinx,spanish,3,as
10,no signs,no signs 1,NA,NA,dry goods,parent,0-5,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,f,NA,NA,NA,1,m,NA,NA,NA,10,NA,multiracial,english,2,rj
11,no signs,no signs 1,NA,NA,dry goods,parent,0-5,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,m,NA,NA,NA,1,f,NA,NA,NA,8,NA,black,english,3,rj
11,no signs,no signs 1,NA,NA,freezer,NA,0-5,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,m,f,NA,NA,1,f,NA,NA,NA,8,NA,black,english,1,le
11,no signs,no signs 1,NA,NA,bread,child,0-5,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,m,NA,NA,NA,1,f,NA,NA,NA,7,NA,black,english,1,yc
11,no signs,no signs 1,NA,NA,produce,NA,6-15,very positive,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,2,0,0,0,1,m,NA,NA,NA,1,f,NA,NA,NA,6,NA,black,english,4,as
12,no signs,no signs 1,NA,NA,dry goods,parent,0-5,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,f,m,NA,NA,1,f,NA,NA,NA,4,NA,latinx,spanish,4,rj
12,no signs,no signs 1,NA,NA,freezer,child,0-5,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,NA,NA,NA,1,f,NA,NA,NA,4,NA,latinx,english,2,le
12,no signs,no signs 1,NA,NA,bread,volunteer,0-5,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,f,m,NA,NA,1,f,NA,NA,NA,4,NA,latinx,english,2,yc
12,no signs,no signs 1,NA,NA,produce,parent,0-5,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,f,NA,NA,NA,1,f,NA,NA,NA,4,NA,latinx,spanish,3,as
13,no signs,no signs 1,NA,NA,dry goods,parent,0-5,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,f,NA,NA,NA,1,f,NA,NA,NA,10,NA,latinx,english,4,rj
13,no signs,no signs 1,NA,NA,produce,NA,0-5,neutral,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,2,as
14,no signs,no signs 1,NA,NA,dry goods,parent,0-5,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,f,m,NA,NA,1,m,NA,NA,NA,7,NA,latinx,spanish,2,rj
14,no signs,no signs 1,NA,NA,freezer,child,0-5,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,m,NA,NA,NA,7,NA,latinx,spanish,1,le
14,no signs,no signs 1,NA,NA,bread,parent,0-5,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,f,m,NA,NA,1,m,NA,NA,NA,5,NA,latinx,spanish,1,yc
14,no signs,no signs 1,NA,NA,produce,parent,0-5,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,f,m,NA,NA,1,m,NA,NA,NA,4,NA,latinx,spanish,NA,as
15,no signs,no signs 1,NA,NA,dry goods,parent,6-15,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,f,m,NA,NA,4,m,f,m,m,5,NA,latinx,english and spanish,4,rj
15,no signs,no signs 1,NA,NA,freezer,parent,0-5,negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,f,m,NA,NA,NA,m,m,m,f,5,NA,latinx,english,1,le
15,no signs,no signs 1,NA,NA,bread,NA,0-5,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,f,m,NA,NA,4,f,m,m,m,5,NA,latinx,spanish,1,yc
15,no signs,no signs 1,NA,NA,produce,child,16+,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,f,m,NA,NA,NA,m,m,m,f,NA,n/a,latinx,spanish,2,as
16,no signs,no signs 1,NA,NA,dry goods,parent,16+,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,f,NA,NA,NA,2,f,f,NA,NA,8,NA,latinx,english and spanish,4,rj
16,no signs,no signs 1,NA,NA,bread,child,6-15,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,f,NA,NA,NA,2,f,f,NA,NA,8,NA,latinx,spanish,1,yc
16,no signs,no signs 1,NA,NA,freezer,child,6-15,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,f,m,NA,NA,2,f,f,NA,NA,8,NA,latinx,english,1,le
16,no signs,no signs 1,NA,NA,produce,child,6-15,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,f,NA,NA,NA,2,f,f,NA,NA,7,1,latinx,spanish,2,as
17,no signs,no signs 1,NA,NA,dry goods,parent,0-5,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,f,NA,NA,NA,1,m,NA,NA,NA,4,NA,black,english,4,rj
17,no signs,no signs 1,NA,NA,freezer,child,6-15,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,f,f,NA,NA,1,m,NA,NA,NA,5,NA,black,english,2,le
17,no signs,no signs 1,NA,NA,bread,child,16+,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,f,NA,NA,NA,1,m,NA,NA,NA,5,NA,black,english,2,yc
17,no signs,no signs 1,NA,NA,produce,parent,6-15,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,f,NA,NA,NA,1,m,NA,NA,NA,3,NA,black,english,3,as
18,no signs,no signs 1,NA,NA,dry goods,parent,0-5,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,f,NA,NA,NA,1,m,NA,NA,NA,10,NA,latinx,english,1,rj
18,no signs,no signs 1,NA,NA,produce,parent,0-5,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,f,NA,NA,NA,1,m,NA,NA,NA,9,NA,latinx,spanish,3,as
20,no signs,no signs 1,NA,NA,dry goods,child,0-5,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,f,NA,NA,NA,3,m,m,m,NA,8,NA,latinx,spanish,4,rj
20,no signs,no signs 1,NA,NA,freezer,volunteer,6-15,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,0,0,0,2,f,f,NA,NA,3,m,m,m,NA,10,NA,latinx,english,2,le
20,no signs,no signs 1,NA,NA,bread,volunteer,6-15,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,f,NA,NA,NA,3,m,m,m,NA,7,NA,latinx,english and spanish,2,yc
20,no signs,no signs 1,NA,NA,produce,child,6-15,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,f,NA,NA,NA,3,m,m,m,NA,7,NA,latinx,spanish,4,as
21,no signs,no signs 1,NA,NA,dry goods,parent,0-5,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,f,m,NA,NA,1,m,NA,NA,NA,8,NA,multiracial,english and spanish,4,rj
21,no signs,no signs 1,NA,NA,freezer,child,0-5,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,m,f,NA,NA,1,m,NA,NA,NA,9,NA,latinx,english,NA,le
21,no signs,no signs 1,NA,NA,bread,child,0-5,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,f,m,NA,NA,1,m,NA,NA,NA,7,NA,NA,NA,NA,yc
21,no signs,no signs 1,NA,NA,produce,child,0-5,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,f,NA,NA,NA,1,m,NA,NA,NA,5,NA,latinx,spanish,1,as
22,no signs,no signs 1,NA,NA,dry goods,parent,0-5,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,f,m,NA,NA,2,m,m,NA,NA,3,NA,white,english,2,rj
22,no signs,no signs 1,NA,NA,freezer,NA,0-5,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,f,m,NA,NA,2,m,m,NA,NA,3,NA,white,english,2,le
22,no signs,no signs 1,NA,NA,bread,volunteer,0-5,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,f,m,NA,NA,2,m,m,NA,NA,3,NA,white,english,2,yc
22,no signs,no signs 1,NA,NA,produce,parent,6-15,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,f,m,NA,NA,2,m,m,NA,NA,1,3,white,english,4,as
23,no signs,no signs 1,NA,NA,dry goods,parent,0-5,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,f,NA,NA,NA,2,f,f,NA,NA,7,NA,black,english,1,rj
23,no signs,no signs 1,NA,NA,freezer,volunteer,0-5,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,f,NA,NA,NA,2,f,m,NA,NA,NA,NA,black,english,2,le
23,no signs,no signs 1,NA,NA,bread,child,0-5,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,f,NA,NA,NA,2,f,f,NA,NA,6,NA,black,english,1,yc
23,no signs,no signs 1,NA,NA,produce,child,0-5,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,f,NA,NA,NA,2,f,f,NA,NA,NA,NA,black,english,NA,as
24,no signs,no signs 1,NA,NA,dry goods,parent,0-5,negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,f,NA,NA,NA,1,m,NA,NA,NA,6,NA,white,english,2,rj
24,no signs,no signs 1,NA,NA,freezer,NA,0-5,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,f,NA,NA,NA,1,m,NA,NA,NA,8,NA,white,english,2,le
24,no signs,no signs 1,NA,NA,bread,child,6-15,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,f,NA,NA,NA,1,m,NA,NA,NA,6,NA,white,english,NA,yc
24,no signs,no signs 1,NA,NA,produce,parent,0-5,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,f,NA,NA,NA,1,m,NA,NA,NA,6,NA,white,english,3,as
25,no signs,no signs 1,NA,NA,freezer,child,0-5,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,f,NA,NA,NA,1,f,NA,NA,NA,6,NA,latinx,english,1,le
25,no signs,no signs 1,NA,NA,bread,child,0-5,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,f,NA,NA,NA,1,f,NA,NA,NA,5,NA,latinx,spanish,3,yc
25,no signs,no signs 1,NA,NA,produce,NA,0-5,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,f,NA,NA,NA,1,f,NA,NA,NA,4,NA,latinx,NA,3,as
28,no signs,no signs 1,NA,NA,dry goods,parent,0-5,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,f,NA,NA,NA,2,m,m,NA,NA,6,NA,latinx,english and spanish,3,rj
28,no signs,no signs 1,NA,NA,freezer,NA,0-5,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,2,m,NA,NA,NA,5,NA,latinx,spanish,1,le
28,no signs,no signs 1,NA,NA,bread,parent,0-5,negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,f,NA,NA,NA,2,m,m,NA,NA,5,NA,latinx,spanish,1,yc
28,no signs,no signs 1,NA,NA,produce,parent,0-5,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,f,m,NA,NA,2,m,m,NA,NA,3,4,latinx,spanish,3,as
30,no signs,no signs 1,NA,NA,dry goods,parent,0-5,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,f,NA,NA,NA,1,f,NA,NA,NA,6,NA,latinx,english,4,rj
31,no signs,no signs 1,NA,NA,dry goods,parent,0-5,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,f,m,NA,NA,1,m,NA,NA,NA,10,NA,latinx,spanish,2,rj
32,no signs,no signs 1,NA,NA,dry goods,parent,6-15,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,m,NA,NA,NA,1,f,NA,NA,NA,10,NA,latinx,english,3,rj
32,no signs,no signs 1,NA,NA,freezer,child,0-5,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,m,NA,NA,NA,1,f,NA,NA,NA,9,NA,latinx,english,1,le
32,no signs,no signs 1,NA,NA,bread,child,6-15,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,m,NA,NA,NA,1,f,NA,NA,NA,8,NA,latinx,english,1,yc
32,no signs,no signs 1,NA,NA,produce,child,6-15,positive,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,m,NA,NA,NA,1,f,NA,NA,NA,6,NA,latinx,english,4,as
232,no signs,no signs 1,NA,NA,dry goods,parent,0-5,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,f,m,NA,NA,2,m,m,NA,NA,4,NA,latinx,spanish,4,rj
